issue_id,user_id,issue_type,description,reported_date,status,priority,app_version
37,492,Network,Dark mode not applied on some screens,2025-08-28 23:28:12,In Progress,Medium,3.0.0
38,810,Data Loss,Profile picture upload not working,2025-05-02 10:22:37,In Progress,Critical,2.9.5
39,7,UI Bug,App logs out automatically,2025-06-10 15:04:53,Open,Medium,4.1.5
40,589,Other,Dark mode not applied on some screens,2025-07-12 07:02:27,In Progress,Critical,1.8.1
41,723,UI Bug,App freezes after login,2025-05-01 02:57:21,Open,Low,5.7.2
42,824,UI Bug,Push notifications show duplicate messages,2024-09-24 13:46:00,In Progress,Critical,1.3.6
43,331,Performance,App logs out automatically,2025-03-08 04:12:06,Open,Critical,2.5.4
44,313,Other,App version mismatch after update,2025-06-15 20:13:17,In Progress,Critical,4.8.8
45,450,Other,Dark mode not applied on some screens,2025-03-17 22:40:04,Resolved,High,1.7.1
46,418,Crash,Slow performance on home screen,2024-11-27 19:00:45,Open,Medium,4.0.4
47,721,Performance,Scrolling is not smooth,2025-08-28 21:54:33,Open,Medium,5.5.5
48,904,Other,Notifications are not received,2024-09-10 06:37:02,In Progress,Medium,2.8.9
49,584,Network,Dark mode not applied on some screens,2025-01-11 12:15:54,In Progress,High,3.8.7
50,330,Network,Dark mode not applied on some screens,2025-06-07 14:21:44,Resolved,Medium,4.5.5
51,561,Crash,UI elements overlap on small screen,2024-10-22 15:38:06,Open,Low,1.3.2
52,741,Performance,Search results take too long to load,2024-12-21 16:44:36,In Progress,Critical,4.3.1
53,742,Network,App logs out automatically,2025-01-02 04:18:37,Resolved,Critical,1.4.1
54,880,UI Bug,Push notifications show duplicate messages,2024-09-18 13:49:07,In Progress,Critical,3.7.9
55,382,Other,Profile picture upload not working,2025-06-17 10:15:16,Open,High,4.1.8
56,593,Performance,UI elements overlap on small screen,2025-07-21 00:55:24,Open,Medium,2.0.9
57,476,Crash,UI elements overlap on small screen,2024-11-25 15:13:48,In Progress,Medium,3.6.7
58,991,Other,Slow performance on home screen,2024-11-05 07:11:42,In Progress,High,4.0.2
59,713,Data Loss,Slow performance on home screen,2025-06-01 17:14:18,Resolved,Medium,3.6.0
60,884,Performance,Push notifications show duplicate messages,2025-03-27 14:52:21,In Progress,Critical,1.8.5
61,422,Crash,Payment gateway fails at checkout,2024-10-27 15:17:31,In Progress,High,5.5.0
62,605,Other,Login button not responding on Android,2025-09-05 23:46:15,Resolved,Medium,4.1.0
63,797,Other,Keyboard hides input field on iOS,2025-03-10 12:10:33,In Progress,Low,4.3.8
64,720,Data Loss,Error message displayed incorrectly,2024-09-22 02:17:12,Resolved,High,5.8.5
65,355,Other,Search results take too long to load,2024-11-05 04:29:20,Resolved,Critical,1.2.4
66,599,Other,UI elements overlap on small screen,2025-03-23 13:22:17,Resolved,High,3.7.3
67,855,Performance,Data lost after app update,2024-11-12 11:29:58,Resolved,High,1.1.2
68,373,Performance,App version mismatch after update,2025-08-05 08:28:09,Resolved,Low,1.9.6
69,93,Other,Payment gateway fails at checkout,2025-08-24 07:56:53,Open,Medium,4.5.4
70,522,Network,Data lost after app update,2025-04-30 03:09:40,Open,Medium,2.8.3
71,675,Performance,Push notifications show duplicate messages,2025-02-17 03:51:45,In Progress,Critical,3.1.1
72,396,Crash,Data lost after app update,2024-12-06 08:01:03,Resolved,High,2.5.9
73,432,UI Bug,Notifications are not received,2025-02-19 04:01:43,Resolved,Critical,5.3.1
74,643,Performance,Search results take too long to load,2024-11-07 02:58:43,In Progress,Low,1.3.9
75,837,Other,Login button not responding on Android,2024-11-26 07:53:50,Open,Critical,4.9.9
76,601,Performance,Crash when switching app language,2025-02-08 10:29:56,Resolved,Low,3.6.9
77,272,Crash,Notifications are not received,2025-08-11 08:04:28,Open,Low,1.9.1
78,429,Crash,App crashes when opening settings,2024-12-16 20:51:26,In Progress,High,4.2.4
79,519,Other,Data lost after app update,2025-05-13 15:33:58,In Progress,Low,2.3.9
80,402,Network,Push notifications show duplicate messages,2024-11-19 04:14:55,Open,Low,5.3.8
81,780,Network,Slow performance on home screen,2024-11-02 15:58:04,Open,Low,5.5.9
82,946,UI Bug,Data not syncing with server,2025-02-27 16:06:38,Resolved,High,1.3.8
83,586,Network,App logs out automatically,2025-04-13 14:28:11,In Progress,Low,3.9.4
84,7,Crash,Location services not detecting city,2025-04-10 13:43:48,Resolved,Critical,4.9.4
85,318,Network,Data not syncing with server,2025-08-23 15:13:10,In Progress,Medium,5.8.7
86,690,UI Bug,App logs out automatically,2024-09-21 04:25:41,Open,Critical,4.1.1
87,764,Other,Data not syncing with server,2025-05-08 23:17:23,In Progress,Critical,1.3.7
88,278,Data Loss,Data not syncing with server,2025-02-05 01:05:46,In Progress,Low,3.2.4
89,73,UI Bug,Search results take too long to load,2024-12-03 22:13:46,In Progress,High,5.3.3
90,60,Crash,Payment gateway fails at checkout,2025-01-26 21:04:49,Resolved,Critical,3.7.2
91,20,UI Bug,App version mismatch after update,2025-08-08 03:16:56,Resolved,Medium,5.0.2
92,567,Performance,Error message displayed incorrectly,2024-12-03 02:32:36,In Progress,High,5.0.8
93,420,Other,Dark mode not applied on some screens,2025-01-26 18:39:55,Resolved,Medium,4.7.0
94,99,Data Loss,App freezes after login,2025-07-07 21:56:57,Open,High,1.9.8
95,629,Data Loss,Scrolling is not smooth,2024-10-27 23:34:30,Open,Critical,2.0.6
96,983,Network,App freezes after login,2025-08-19 21:34:16,In Progress,Low,5.2.2
97,981,Other,Crash when switching app language,2025-09-04 22:42:56,Open,Low,2.1.9
98,120,Data Loss,Keyboard hides input field on iOS,2024-12-26 14:35:26,Open,High,2.7.2
99,198,Data Loss,Scrolling is not smooth,2024-12-17 04:57:59,In Progress,Critical,4.7.8
100,80,UI Bug,Crash when switching app language,2024-09-24 14:57:00,Resolved,Low,1.9.3
101,27,UI Bug,Login button not responding on Android,2024-11-23 21:07:56,Resolved,Medium,4.4.6
102,908,Crash,Payment gateway fails at checkout,2025-08-06 00:31:46,Resolved,Low,3.7.4
103,298,UI Bug,Data lost after app update,2025-07-09 05:38:27,Resolved,Medium,2.6.6
104,585,Crash,App version mismatch after update,2025-07-24 12:12:44,Open,High,3.9.5
105,136,UI Bug,Payment gateway fails at checkout,2024-11-27 02:05:32,Open,High,2.5.4
106,740,Network,App crashes when opening settings,2024-11-02 18:05:37,In Progress,High,1.9.8
107,841,Other,Notifications are not received,2024-11-04 21:32:44,Open,Medium,2.8.9
108,867,UI Bug,App logs out automatically,2025-06-16 00:55:40,Resolved,High,2.4.4
109,750,Other,Profile picture upload not working,2024-12-18 11:45:54,Resolved,High,5.4.2
110,549,Crash,Data lost after app update,2025-01-13 04:09:23,Resolved,Critical,1.6.0
111,653,Performance,App freezes after login,2025-04-30 01:54:17,In Progress,High,4.5.5
112,501,Crash,Login button not responding on Android,2024-10-24 11:09:21,Resolved,High,4.2.3
113,473,Data Loss,Data not syncing with server,2025-01-13 15:19:45,Open,Low,2.8.2
114,666,Other,Location services not detecting city,2024-11-08 12:26:42,Resolved,Critical,1.6.9
115,991,Crash,App freezes after login,2025-07-22 06:04:23,Open,Critical,3.3.5
116,779,Data Loss,Keyboard hides input field on iOS,2024-11-02 10:36:53,Resolved,Medium,2.3.8
117,738,Crash,Data not syncing with server,2024-11-22 16:53:41,In Progress,Low,2.6.7
118,496,Performance,Crash when switching app language,2025-07-17 10:38:56,In Progress,Critical,3.8.0
119,89,Crash,Location services not detecting city,2025-04-12 12:07:44,In Progress,Low,5.8.1
120,807,Crash,Push notifications show duplicate messages,2024-09-22 11:54:35,Resolved,Critical,5.9.2
121,786,Other,Data not syncing with server,2024-10-04 09:03:16,In Progress,High,3.2.5
122,148,Network,Payment gateway fails at checkout,2025-04-02 13:14:37,Open,Medium,2.4.3
123,85,UI Bug,App crashes when opening settings,2025-04-09 23:44:27,Open,Medium,5.0.3
124,578,Other,Dark mode not applied on some screens,2025-04-01 05:46:22,Resolved,Low,4.5.3
125,585,Data Loss,Scrolling is not smooth,2025-05-01 23:22:32,In Progress,Critical,4.5.4
126,866,Other,Dark mode not applied on some screens,2025-06-01 05:37:17,Resolved,Critical,2.2.9
127,877,UI Bug,Crash when switching app language,2025-06-18 05:04:01,Open,High,2.0.7
128,948,Other,App version mismatch after update,2025-07-25 21:49:07,Resolved,Low,1.8.4
129,635,UI Bug,App logs out automatically,2025-01-02 22:19:58,In Progress,Low,1.2.8
130,350,Data Loss,Error message displayed incorrectly,2025-03-08 01:45:28,Open,Medium,2.8.9
131,937,Network,Payment gateway fails at checkout,2025-01-22 08:53:34,In Progress,Critical,4.4.9
132,125,Network,Crash when switching app language,2025-07-11 23:50:29,Resolved,Low,4.6.2
133,98,Data Loss,Payment gateway fails at checkout,2025-08-10 05:01:47,Open,Medium,4.1.2
134,450,UI Bug,Keyboard hides input field on iOS,2024-09-10 15:17:41,Open,Critical,4.6.5
135,158,UI Bug,App version mismatch after update,2024-12-27 15:50:11,Open,Critical,2.3.7
136,413,Other,App freezes after login,2024-11-16 10:25:55,Open,High,1.5.2
137,192,Crash,Keyboard hides input field on iOS,2025-01-29 09:41:46,Resolved,High,5.4.4
138,439,Performance,UI elements overlap on small screen,2025-05-04 01:52:06,Open,Low,3.3.4
139,61,Network,Notifications are not received,2025-09-02 23:18:04,Resolved,Low,3.2.4
140,340,UI Bug,App freezes after login,2025-07-16 05:09:19,Resolved,High,1.6.8
141,9,Crash,Data not syncing with server,2025-03-01 08:13:51,Open,Low,1.9.6
142,995,UI Bug,UI elements overlap on small screen,2025-02-14 19:17:39,Open,High,4.6.9
143,426,Crash,UI elements overlap on small screen,2025-02-12 00:46:11,Open,Low,1.4.8
144,559,Other,App version mismatch after update,2024-10-04 05:30:38,In Progress,High,2.2.2
145,387,Performance,Location services not detecting city,2025-04-08 01:31:50,In Progress,High,2.0.5
146,903,Other,Keyboard hides input field on iOS,2025-04-22 15:27:32,In Progress,Critical,1.8.8
147,709,UI Bug,Scrolling is not smooth,2025-03-02 03:56:05,In Progress,Low,5.8.2
148,183,Performance,Search results take too long to load,2024-12-27 06:03:37,Resolved,Critical,3.8.5
149,501,UI Bug,Dark mode not applied on some screens,2024-10-08 23:35:44,Open,Critical,5.2.8
150,531,Data Loss,Location services not detecting city,2025-08-03 17:22:57,In Progress,Critical,1.7.4
151,185,Other,Crash when switching app language,2025-08-23 22:23:18,In Progress,Critical,3.1.9
152,310,Network,Keyboard hides input field on iOS,2025-08-13 12:42:57,Resolved,Medium,5.4.5
153,479,Other,Notifications are not received,2025-05-07 00:07:00,Resolved,Medium,3.1.8
154,190,Data Loss,Crash when switching app language,2024-11-06 00:13:43,Resolved,High,2.5.2
155,709,Network,App logs out automatically,2025-08-09 02:12:09,In Progress,Low,1.1.0
156,576,Performance,Keyboard hides input field on iOS,2025-05-10 19:03:57,Open,Medium,2.1.4
157,888,Performance,App logs out automatically,2024-10-28 20:37:24,In Progress,High,3.5.5
158,373,Crash,Error message displayed incorrectly,2025-01-20 16:15:10,Resolved,Critical,5.6.7
159,773,Crash,Search results take too long to load,2024-12-24 12:37:47,In Progress,High,3.1.9
160,555,Crash,Location services not detecting city,2025-06-15 13:46:18,Open,High,4.2.9
161,1000,Other,Location services not detecting city,2025-01-16 14:06:22,Resolved,Medium,1.9.5
162,94,Other,Dark mode not applied on some screens,2025-06-05 14:35:54,Resolved,Critical,4.4.2
163,552,Crash,Payment gateway fails at checkout,2024-11-26 02:38:44,In Progress,Critical,1.1.4
164,581,Data Loss,Location services not detecting city,2024-12-04 07:11:52,Resolved,High,3.1.7
165,58,UI Bug,Scrolling is not smooth,2025-07-21 20:39:10,Resolved,High,1.7.3
166,751,Performance,Slow performance on home screen,2025-03-12 12:42:29,Resolved,Critical,4.3.3
167,9,Network,Profile picture upload not working,2025-06-28 07:01:31,Open,Critical,2.4.3
168,668,Performance,Search results take too long to load,2025-08-18 22:38:09,Open,Medium,5.3.1
169,354,Data Loss,Keyboard hides input field on iOS,2024-12-02 15:00:34,Resolved,Critical,5.0.8
170,71,Network,Profile picture upload not working,2025-01-21 14:08:17,Open,High,3.1.3
171,130,Other,Crash when switching app language,2024-09-19 20:56:35,Resolved,Critical,3.5.8
172,147,Data Loss,Payment gateway fails at checkout,2025-03-12 03:53:11,In Progress,Critical,1.8.7
173,623,Performance,UI elements overlap on small screen,2025-05-20 11:26:28,Resolved,Critical,5.2.0
174,525,Network,Data lost after app update,2025-03-09 07:24:04,In Progress,Low,2.9.1
175,444,Performance,Location services not detecting city,2025-05-15 01:30:25,Resolved,High,5.6.2
176,699,Other,Data lost after app update,2024-10-08 08:53:06,Resolved,Low,3.2.3
177,43,Data Loss,Location services not detecting city,2025-05-11 09:30:20,Resolved,Medium,1.3.8
178,455,Crash,Scrolling is not smooth,2025-04-12 15:10:00,Resolved,High,5.3.4
179,995,UI Bug,App freezes after login,2025-03-13 00:58:34,Open,Medium,5.2.9
180,599,Performance,App freezes after login,2024-12-07 02:12:33,In Progress,Medium,1.2.2
181,455,Network,Error message displayed incorrectly,2025-05-05 18:09:28,In Progress,High,3.9.0
182,17,Other,Error message displayed incorrectly,2025-06-29 07:05:34,Open,Medium,2.5.8
183,547,UI Bug,App logs out automatically,2025-07-01 12:57:00,Resolved,Low,4.9.0
184,949,Crash,Push notifications show duplicate messages,2024-10-19 01:42:38,Resolved,Medium,3.6.3
185,281,Crash,Payment gateway fails at checkout,2025-02-21 05:33:44,Resolved,Low,1.6.6
186,15,Network,Push notifications show duplicate messages,2024-10-28 05:27:51,Open,Low,3.5.0
187,320,Network,Slow performance on home screen,2025-07-15 12:11:09,Open,Low,4.3.2
188,318,Data Loss,Crash when switching app language,2024-11-15 14:00:02,In Progress,Low,5.3.6
189,245,Data Loss,Scrolling is not smooth,2025-07-11 21:59:38,In Progress,High,2.2.0
190,918,Data Loss,App freezes after login,2025-05-08 19:14:55,In Progress,Medium,3.6.6
191,657,Network,Keyboard hides input field on iOS,2025-04-03 16:58:14,In Progress,Low,4.0.9
192,979,Network,App logs out automatically,2025-01-25 05:48:40,In Progress,High,2.4.4
193,933,Network,Dark mode not applied on some screens,2025-04-08 07:50:17,Resolved,High,5.6.2
194,366,Other,Location services not detecting city,2025-07-05 11:49:06,Resolved,Medium,4.3.8
195,783,UI Bug,Crash when switching app language,2025-03-17 20:14:36,Open,Medium,2.8.2
196,175,UI Bug,Scrolling is not smooth,2024-12-21 17:21:12,In Progress,Low,4.6.2
197,859,Other,Keyboard hides input field on iOS,2025-07-24 00:34:10,Resolved,Medium,1.5.5
198,640,Other,UI elements overlap on small screen,2025-02-04 03:58:53,Open,Medium,2.6.4
199,935,Data Loss,Search results take too long to load,2025-04-18 03:39:59,Resolved,High,3.7.1
200,684,Network,Error message displayed incorrectly,2025-01-25 22:45:00,In Progress,Medium,1.7.5
201,279,Data Loss,Location services not detecting city,2025-06-28 17:53:22,In Progress,Low,4.5.5
202,920,Data Loss,Error message displayed incorrectly,2025-01-24 11:02:03,Open,Low,5.0.0
203,390,Performance,App freezes after login,2025-06-01 07:24:54,Open,Medium,4.3.5
204,673,Network,Data lost after app update,2025-06-28 11:36:39,Resolved,Critical,2.0.9
205,610,Data Loss,App logs out automatically,2025-07-25 11:06:25,Open,Critical,4.3.7
206,878,Performance,Location services not detecting city,2025-03-01 12:27:43,In Progress,Critical,3.6.6
207,667,Network,Login button not responding on Android,2025-01-21 09:39:12,Open,Low,2.8.0
208,901,Performance,Location services not detecting city,2025-01-01 00:02:37,In Progress,Critical,4.0.9
209,467,Other,Login button not responding on Android,2025-06-23 05:16:07,Resolved,Medium,4.4.4
210,488,Data Loss,App version mismatch after update,2024-10-19 04:49:25,Open,Low,1.8.3
211,620,Network,Crash when switching app language,2025-06-21 11:42:52,Open,Critical,4.5.5
212,99,Network,Data lost after app update,2024-10-07 17:03:16,Open,Medium,5.7.6
213,875,Network,Keyboard hides input field on iOS,2025-05-30 20:03:50,Resolved,Low,4.6.2
214,18,Other,Dark mode not applied on some screens,2024-10-11 19:30:42,Resolved,High,2.0.7
215,706,Other,App logs out automatically,2025-03-27 09:25:06,In Progress,Medium,5.6.2
216,925,Other,Error message displayed incorrectly,2024-12-10 15:09:20,Resolved,Medium,4.8.9
217,862,UI Bug,Login button not responding on Android,2025-03-21 03:24:21,Resolved,High,4.9.0
218,514,UI Bug,UI elements overlap on small screen,2024-12-14 07:18:44,Open,Medium,5.5.4
219,487,UI Bug,App version mismatch after update,2025-01-05 18:45:19,Open,High,1.8.4
220,566,Performance,Keyboard hides input field on iOS,2025-05-31 11:17:10,In Progress,Low,4.4.6
221,196,Network,Data not syncing with server,2025-01-04 15:23:21,Resolved,Critical,2.6.9
222,619,Performance,Notifications are not received,2024-12-05 15:18:28,Open,High,4.6.2
223,966,Network,Data not syncing with server,2024-11-28 16:41:10,Open,Low,2.0.3
224,658,Crash,UI elements overlap on small screen,2025-05-26 23:30:09,Open,Medium,4.9.0
225,893,Data Loss,Crash when switching app language,2025-08-19 09:42:12,Open,Low,4.2.8
226,217,Performance,App version mismatch after update,2025-08-19 00:36:40,In Progress,Low,4.7.6
227,76,Other,Profile picture upload not working,2025-05-25 08:22:12,Open,Low,1.6.2
228,438,Network,UI elements overlap on small screen,2025-05-30 22:10:04,In Progress,Medium,1.3.8
229,450,Data Loss,Scrolling is not smooth,2025-03-20 07:33:42,Open,Medium,4.8.1
230,755,Performance,UI elements overlap on small screen,2025-01-16 19:48:10,Open,Medium,4.7.1
231,471,Network,Search results take too long to load,2025-02-04 09:46:13,In Progress,Critical,4.4.1
232,184,Other,UI elements overlap on small screen,2024-09-13 02:47:45,Open,Critical,5.6.4
233,169,Other,App freezes after login,2024-11-20 05:18:21,Open,High,3.1.2
234,992,Crash,Notifications are not received,2025-03-04 06:45:26,Resolved,Critical,1.4.9
235,341,Network,Scrolling is not smooth,2025-05-31 07:00:08,Open,High,2.1.8
236,34,UI Bug,Profile picture upload not working,2025-07-13 07:13:41,Open,Medium,2.9.9
237,342,UI Bug,App crashes when opening settings,2024-09-22 05:00:25,In Progress,Critical,4.2.1
238,92,Other,Error message displayed incorrectly,2025-05-11 07:56:38,Resolved,Critical,1.2.6
239,370,Network,Login button not responding on Android,2025-06-23 03:42:59,Open,Low,5.6.8
240,938,Performance,Slow performance on home screen,2025-08-18 23:23:04,Open,Critical,4.2.6
241,833,Other,Error message displayed incorrectly,2025-05-17 21:25:08,In Progress,Low,2.7.5
242,421,Other,Error message displayed incorrectly,2025-01-22 10:46:09,Open,Medium,5.9.2
243,375,Network,Payment gateway fails at checkout,2025-02-12 10:10:57,Resolved,Medium,1.5.2
244,167,Performance,Slow performance on home screen,2025-03-17 20:51:57,Resolved,Medium,1.7.9
245,19,UI Bug,Crash when switching app language,2024-10-26 10:16:01,Resolved,Critical,1.4.8
246,27,Performance,Dark mode not applied on some screens,2024-11-04 13:58:46,Open,Critical,2.9.5
247,582,Performance,Dark mode not applied on some screens,2024-11-18 01:58:32,Resolved,Medium,1.7.3
248,921,Network,Scrolling is not smooth,2025-08-25 10:41:39,In Progress,High,3.4.8
249,422,Performance,Slow performance on home screen,2025-03-11 09:37:15,Resolved,High,2.9.3
250,243,Network,Notifications are not received,2024-11-12 18:45:23,Resolved,Critical,4.8.8
251,895,Performance,Crash when switching app language,2024-12-02 19:41:54,Resolved,Medium,3.5.5
252,965,UI Bug,Data not syncing with server,2024-12-14 04:19:13,Resolved,Low,4.3.7
253,274,Network,Push notifications show duplicate messages,2025-05-22 22:03:07,In Progress,High,3.8.8
254,251,Other,App logs out automatically,2025-02-23 10:37:51,Resolved,Critical,1.0.9
255,616,Data Loss,Notifications are not received,2024-10-12 18:10:02,In Progress,High,2.6.8
256,760,UI Bug,Notifications are not received,2025-04-26 04:31:30,Open,Low,5.2.9
257,890,Performance,Data lost after app update,2025-05-26 10:28:41,Open,Critical,4.7.4
258,496,Other,Search results take too long to load,2024-12-03 02:03:34,Open,High,1.0.3
259,212,Other,Profile picture upload not working,2025-05-25 07:58:50,Resolved,Critical,3.6.5
260,430,Data Loss,App crashes when opening settings,2024-12-12 17:20:08,Open,High,4.6.2
261,250,Data Loss,App logs out automatically,2025-02-13 23:18:30,Open,Low,2.1.4
262,935,Crash,Search results take too long to load,2024-12-19 00:35:59,Resolved,High,1.2.7
263,795,UI Bug,Data not syncing with server,2025-03-08 19:12:37,Resolved,Critical,3.9.0
264,834,UI Bug,App logs out automatically,2025-07-02 08:15:34,In Progress,High,3.4.5
265,417,Other,App crashes when opening settings,2025-04-17 15:44:41,In Progress,Critical,4.9.8
266,308,Performance,App crashes when opening settings,2025-03-17 08:38:52,In Progress,Medium,2.7.6
267,958,Network,Search results take too long to load,2025-02-05 17:24:25,Resolved,Low,5.2.6
268,474,UI Bug,Scrolling is not smooth,2025-08-23 16:26:23,Open,Low,4.8.5
269,568,UI Bug,App crashes when opening settings,2024-09-06 23:22:54,Open,Medium,2.9.8
270,514,Performance,Crash when switching app language,2025-02-27 15:48:18,Open,Medium,2.9.7
271,387,Performance,Profile picture upload not working,2025-04-25 04:25:33,Open,Medium,5.1.4
272,258,Network,App logs out automatically,2025-05-03 16:35:39,In Progress,Medium,3.9.1
273,72,Performance,Notifications are not received,2025-03-08 00:26:00,Resolved,High,2.7.4
274,683,Data Loss,Data lost after app update,2024-10-14 20:33:38,Resolved,Critical,3.4.1
275,978,Performance,App version mismatch after update,2025-05-31 04:32:26,Open,High,4.2.9
276,6,Other,Dark mode not applied on some screens,2024-10-18 16:21:25,Resolved,High,1.3.0
277,891,Performance,Notifications are not received,2025-04-14 00:31:08,Open,High,2.2.2
278,384,Other,Payment gateway fails at checkout,2024-10-23 00:25:03,Resolved,Low,4.0.3
279,899,Network,App freezes after login,2025-05-19 05:55:23,In Progress,Medium,2.1.3
280,311,Data Loss,Login button not responding on Android,2024-12-19 04:56:27,Resolved,Critical,4.5.4
281,769,Crash,App crashes when opening settings,2024-11-24 08:43:12,Resolved,Medium,3.3.4
282,104,Data Loss,Push notifications show duplicate messages,2025-04-09 01:43:06,In Progress,Low,1.6.9
283,458,Crash,Profile picture upload not working,2025-02-15 13:22:12,Resolved,High,3.8.2
284,710,Other,Keyboard hides input field on iOS,2025-06-24 19:02:08,Open,High,2.0.1
285,189,Performance,App logs out automatically,2025-05-21 01:59:15,Resolved,Critical,3.5.9
286,447,Data Loss,Crash when switching app language,2025-05-24 15:56:52,Resolved,Critical,1.5.7
287,711,Crash,App version mismatch after update,2025-08-29 10:29:28,Open,High,4.1.6
288,564,Data Loss,App freezes after login,2025-08-12 16:09:08,Resolved,Low,5.3.0
289,899,Other,Dark mode not applied on some screens,2025-01-03 20:27:38,Resolved,Medium,2.2.1
290,916,Performance,Scrolling is not smooth,2025-05-21 13:01:43,Open,High,3.8.5
291,358,Crash,Data not syncing with server,2025-05-15 04:59:11,Open,High,5.1.5
292,40,Other,UI elements overlap on small screen,2024-11-27 21:41:41,In Progress,Critical,4.0.1
293,211,Performance,Notifications are not received,2024-12-06 14:05:02,Open,Medium,2.2.0
294,603,Performance,Data lost after app update,2025-05-25 01:20:44,Open,Critical,1.0.9
295,135,Other,Dark mode not applied on some screens,2024-10-25 10:38:58,Open,Low,4.1.8
296,32,Crash,UI elements overlap on small screen,2025-06-27 03:48:47,Open,Low,3.4.5
297,15,Network,Data not syncing with server,2024-12-30 16:44:29,In Progress,High,3.1.7
298,397,Network,UI elements overlap on small screen,2025-05-18 18:37:10,In Progress,High,2.7.3
299,486,Other,Profile picture upload not working,2024-10-08 08:11:37,Resolved,Critical,3.4.3
300,941,Performance,Notifications are not received,2024-10-14 09:47:48,Resolved,High,3.3.6
301,407,Crash,App logs out automatically,2025-07-12 14:32:44,In Progress,Low,4.3.8
302,200,Data Loss,App logs out automatically,2024-12-30 13:56:11,In Progress,Critical,4.0.4
303,378,Crash,Scrolling is not smooth,2024-12-06 16:39:07,Open,Low,2.9.9
304,948,Other,App crashes when opening settings,2025-02-05 12:24:31,In Progress,Low,2.0.5
305,920,Data Loss,App freezes after login,2024-09-27 04:23:24,In Progress,Critical,3.1.3
306,35,Other,Location services not detecting city,2024-10-27 09:31:13,Resolved,Low,4.8.6
307,615,UI Bug,Data lost after app update,2025-08-15 11:24:08,In Progress,High,2.5.7
308,187,Network,Location services not detecting city,2024-12-29 21:52:59,Resolved,High,4.2.8
309,331,Crash,Crash when switching app language,2024-09-16 01:19:15,In Progress,Medium,5.1.6
310,632,Crash,App freezes after login,2024-12-15 03:39:34,In Progress,Medium,4.2.2
